encoder,topology,item_id,center_accepted,n1_origin,n1_ld,raw_center_ld,rejection_reason,full_pool_attempts,pool_rejections,unused_valid_renders
relativefx,known,fma_test_000705,True,head_center,0.2805769145488739,0.2805769145488739,,512,0,0
relativefx,known,fma_test_000706,True,head_center,0.13828495144844055,0.13828495144844055,,512,0,0
relativefx,known,fma_test_000707,True,head_center,1.2779371738433838,1.2779371738433838,,512,0,0
relativefx,known,fma_test_000708,True,head_center,0.49009010195732117,0.49009010195732117,,512,0,0
relativefx,known,fma_test_001069,True,head_center,0.1555778980255127,0.1555778980255127,,512,0,0
relativefx,known,fma_test_001249,True,head_center,0.32871192693710327,0.32871192693710327,,778,15,251
relativefx,known,fma_test_004108,True,head_center,1.1263020038604736,1.1263020038604736,,512,0,0
relativefx,known,fma_test_007378,True,head_center,1.1898467540740967,1.1898467540740967,,512,0,0
relativefx,known,fma_test_007379,True,head_center,1.0545679330825806,1.0545679330825806,,770,2,256
relativefx,known,fma_test_007381,True,head_center,1.409408450126648,1.409408450126648,,512,0,0
relativefx,known,fma_test_007383,True,head_center,0.11566728353500366,0.11566728353500366,,512,0,0
relativefx,known,fma_test_010382,True,head_center,0.32231926918029785,0.32231926918029785,,512,0,0
relativefx,known,fma_test_010383,True,head_center,0.3076976537704468,0.3076976537704468,,777,14,251
relativefx,known,fma_test_010384,True,head_center,0.21177786588668823,0.21177786588668823,,512,0,0
relativefx,known,fma_test_010387,True,head_center,0.9185323715209961,0.9185323715209961,,512,0,0
relativefx,known,fma_test_010388,True,head_center,1.306210994720459,1.306210994720459,,512,0,0
relativefx,known,fma_test_010438,True,head_center,0.7049104571342468,0.7049104571342468,,512,0,0
relativefx,known,fma_test_010440,True,head_center,1.0539164543151855,1.0539164543151855,,769,1,256
relativefx,known,fma_test_010441,True,head_center,1.3131968975067139,1.3131968975067139,,895,221,162
relativefx,known,fma_test_010443,True,head_center,1.4119404554367065,1.4119404554367065,,772,4,256
relativefx,known,fma_test_010444,True,head_center,0.5209802985191345,0.5209802985191345,,512,0,0
relativefx,known,fma_test_011019,True,head_center,0.6584504842758179,0.6584504842758179,,512,0,0
relativefx,known,fma_test_012046,True,head_center,0.10479768365621567,0.10479768365621567,,512,0,0
relativefx,known,fma_test_012051,True,head_center,0.4648002088069916,0.4648002088069916,,512,0,0
relativefx,known,fma_test_012059,True,head_center,0.38915157318115234,0.38915157318115234,,769,3,254
relativefx,known,fma_test_012060,True,head_center,1.0104663372039795,1.0104663372039795,,512,0,0
relativefx,known,fma_test_012064,True,head_center,0.7261786460876465,0.7261786460876465,,512,0,0
relativefx,known,fma_test_012065,True,head_center,0.4461674392223358,0.4461674392223358,,898,220,166
relativefx,known,fma_test_012179,True,head_center,0.796343207359314,0.796343207359314,,512,0,0
relativefx,known,fma_test_012387,True,head_center,0.8584266901016235,0.8584266901016235,,769,1,256
relativefx,known,fma_test_012390,False,head_centered,1.4041355848312378,,not separated: nonfinite or peak rejection,2257,1741,4
relativefx,known,fma_test_012481,True,head_center,2.1145246028900146,2.1145246028900146,,512,0,0
relativefx,known,fma_test_012482,True,head_center,1.3834326267242432,1.3834326267242432,,512,0,0
relativefx,known,fma_test_012489,True,head_center,1.0159103870391846,1.0159103870391846,,512,0,0
relativefx,known,fma_test_012518,True,head_center,1.416012167930603,1.416012167930603,,512,0,0
relativefx,known,fma_test_014653,True,head_center,0.841291606426239,0.841291606426239,,512,0,0
relativefx,known,fma_test_014690,True,head_center,1.291943073272705,1.291943073272705,,512,0,0
relativefx,known,fma_test_014734,True,head_center,1.3323743343353271,1.3323743343353271,,778,14,252
relativefx,known,fma_test_014736,True,head_center,0.9310377836227417,0.9310377836227417,,771,5,254
relativefx,known,fma_test_014738,True,head_center,0.24864733219146729,0.24864733219146729,,769,1,256
relativefx,known,fma_test_014744,True,head_center,0.4733087718486786,0.4733087718486786,,779,19,248
relativefx,known,fma_test_014745,True,head_center,1.98354172706604,1.98354172706604,,799,39,248
relativefx,known,fma_test_016337,True,head_center,1.1842278242111206,1.1842278242111206,,512,0,0
relativefx,known,fma_test_016340,True,head_center,0.5280312299728394,0.5280312299728394,,512,0,0
relativefx,known,fma_test_016995,True,head_center,0.38441556692123413,0.38441556692123413,,512,0,0
relativefx,known,fma_test_016997,True,head_center,1.131643295288086,1.131643295288086,,512,0,0
relativefx,known,fma_test_020296,False,head_centered,0.7988681793212891,,not separated: nonfinite or peak rejection,1323,699,112
relativefx,known,fma_test_021997,True,head_center,0.12481963634490967,0.12481963634490967,,512,0,0
relativefx,known,fma_test_021998,True,head_center,0.37614935636520386,0.37614935636520386,,512,0,0
relativefx,known,fma_test_022000,True,head_center,1.386159896850586,1.386159896850586,,512,0,0
relativefx,known,fma_test_023041,True,head_center,1.2898688316345215,1.2898688316345215,,512,0,0
relativefx,known,fma_test_026859,True,head_center,0.9909992218017578,0.9909992218017578,,772,5,255
relativefx,known,fma_test_026902,True,head_center,0.5569236278533936,0.5569236278533936,,844,113,219
relativefx,known,fma_test_026904,True,head_center,0.5018298029899597,0.5018298029899597,,512,0,0
relativefx,known,fma_test_026905,True,head_center,0.516362190246582,0.516362190246582,,512,0,0
relativefx,known,fma_test_035569,True,head_center,0.8224592208862305,0.8224592208862305,,512,0,0
relativefx,known,fma_test_036096,True,head_center,0.5396845936775208,0.5396845936775208,,512,0,0
relativefx,known,fma_test_036099,True,head_center,0.9587143659591675,0.9587143659591675,,512,0,0
relativefx,known,fma_test_036799,True,head_center,1.6778525114059448,1.6778525114059448,,512,0,0
relativefx,known,fma_test_038775,True,head_center,1.269883632659912,1.269883632659912,,512,0,0
relativefx,known,fma_test_038776,True,head_center,0.12741558253765106,0.12741558253765106,,512,0,0
relativefx,known,fma_test_038779,True,head_center,1.0349239110946655,1.0349239110946655,,769,1,256
relativefx,known,fma_test_038782,True,head_center,0.8596166372299194,0.8596166372299194,,512,0,0
relativefx,known,fma_test_038783,True,head_center,0.15152636170387268,0.15152636170387268,,512,0,0
relativefx,known,fma_test_038784,True,head_center,0.44275176525115967,0.44275176525115967,,769,1,256
relativefx,known,fma_test_038785,True,head_center,0.44337719678878784,0.44337719678878784,,512,0,0
relativefx,known,fma_test_038819,True,head_center,1.3747882843017578,1.3747882843017578,,512,0,0
relativefx,known,fma_test_038820,True,head_center,0.28648924827575684,0.28648924827575684,,769,1,256
relativefx,known,fma_test_038823,True,head_center,1.7897390127182007,1.7897390127182007,,769,2,255
relativefx,known,fma_test_038826,True,head_center,0.45572221279144287,0.45572221279144287,,512,0,0
relativefx,known,fma_test_038827,True,head_center,1.6356709003448486,1.6356709003448486,,512,0,0
relativefx,known,fma_test_038828,True,head_center,0.6684311628341675,0.6684311628341675,,512,0,0
